Txhash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Value,Token
"0xd7b4019b36399cdbf29e13f0223d88b44a39080baca6b8e5413582d31acae474","Success","Bulk Claim Mint Reward","55770443","2024-04-13 09:51:12","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x577E22bF6f5D4035325B9883312DBacB359425AE","","26,243,156","XEN Crypto (mXEN)"
"0xd7b4019b36399cdbf29e13f0223d88b44a39080baca6b8e5413582d31acae474","Success","Bulk Claim Mint Reward","55770443","2024-04-13 09:51:12","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x577E22bF6f5D4035325B9883312DBacB359425AE","","26,243,156","XEN Crypto (mXEN)"
"0xd7b4019b36399cdbf29e13f0223d88b44a39080baca6b8e5413582d31acae474","Success","Bulk Claim Mint Reward","55770443","2024-04-13 09:51:12","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x577E22bF6f5D4035325B9883312DBacB359425AE","","26,243,156","XEN Crypto (mXEN)"
"0xd7b4019b36399cdbf29e13f0223d88b44a39080baca6b8e5413582d31acae474","Success","Bulk Claim Mint Reward","55770443","2024-04-13 09:51:12","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x577E22bF6f5D4035325B9883312DBacB359425AE","","26,243,156","XEN Crypto (mXEN)"
"0xd7b4019b36399cdbf29e13f0223d88b44a39080baca6b8e5413582d31acae474","Success","Bulk Claim Mint Reward","55770443","2024-04-13 09:51:12","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x577E22bF6f5D4035325B9883312DBacB359425AE","","26,243,156","XEN Crypto (mXEN)"
"0xd7b4019b36399cdbf29e13f0223d88b44a39080baca6b8e5413582d31acae474","Success","Bulk Claim Mint Reward","55770443","2024-04-13 09:51:12","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x577E22bF6f5D4035325B9883312DBacB359425AE","","26,243,156","XEN Crypto (mXEN)"
"0xd7b4019b36399cdbf29e13f0223d88b44a39080baca6b8e5413582d31acae474","Success","Bulk Claim Mint Reward","55770443","2024-04-13 09:51:12","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x577E22bF6f5D4035325B9883312DBacB359425AE","","26,243,156","XEN Crypto (mXEN)"
"0xd7b4019b36399cdbf29e13f0223d88b44a39080baca6b8e5413582d31acae474","Success","Bulk Claim Mint Reward","55770443","2024-04-13 09:51:12","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x577E22bF6f5D4035325B9883312DBacB359425AE","","26,243,156","XEN Crypto (mXEN)"
"0xd7b4019b36399cdbf29e13f0223d88b44a39080baca6b8e5413582d31acae474","Success","Bulk Claim Mint Reward","55770443","2024-04-13 09:51:12","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x577E22bF6f5D4035325B9883312DBacB359425AE","","26,243,156","XEN Crypto (mXEN)"
"0xd7b4019b36399cdbf29e13f0223d88b44a39080baca6b8e5413582d31acae474","Success","Bulk Claim Mint Reward","55770443","2024-04-13 09:51:12","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x577E22bF6f5D4035325B9883312DBacB359425AE","","26,243,156","XEN Crypto (mXEN)"
"0xd7b4019b36399cdbf29e13f0223d88b44a39080baca6b8e5413582d31acae474","Success","Bulk Claim Mint Reward","55770443","2024-04-13 09:51:12","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x577E22bF6f5D4035325B9883312DBacB359425AE","","26,243,156","XEN Crypto (mXEN)"
"0xd7b4019b36399cdbf29e13f0223d88b44a39080baca6b8e5413582d31acae474","Success","Bulk Claim Mint Reward","55770443","2024-04-13 09:51:12","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x577E22bF6f5D4035325B9883312DBacB359425AE","","26,243,156","XEN Crypto (mXEN)"
