Txhash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Value,Token
"0x6faeffc2d4916947bc49d2f301078af08d19c632d86d70eb3d7c1be5ab471538","Success","Transfer","55770519","2024-04-13 09:53:54","0xe7804c37c13166ff0b37f5ae0bb07a3aebb6e245","Binance: Hot Wallet 2","0x167bf1e67f4ea98b77d630012d8913bdf9e70c45","","21.5","(PoS) Tether USD(USDT)"
"0x13555e21c2cbd3998556673c50a8d495713e997395240e3c2d9b4605022afada","Success","Reward","55770517","2024-04-13 09:53:50","0xe7804c37c13166ff0b37f5ae0bb07a3aebb6e245","Binance: Hot Wallet 2","0xe4f74af191326a4e04c7472f19813fe3d10b2431","","3,768,308","!    Kuroro Beasts(KURO  [www.kuroro.gg])"
"0x13555e21c2cbd3998556673c50a8d495713e997395240e3c2d9b4605022afada","Success","Reward","55770517","2024-04-13 09:53:50","0xe7804c37c13166ff0b37f5ae0bb07a3aebb6e245","Binance: Hot Wallet 2","0xb1f39478e7fe868b1895770b8753404def50893c","","3,768,308","!    Kuroro Beasts(KURO  [www.kuroro.gg])"
"0x13555e21c2cbd3998556673c50a8d495713e997395240e3c2d9b4605022afada","Success","Reward","55770517","2024-04-13 09:53:50","0xe7804c37c13166ff0b37f5ae0bb07a3aebb6e245","Binance: Hot Wallet 2","0xbc82547bdce3951700b6312e4bc8c39a4ad43b13","","3,768,308","!    Kuroro Beasts(KURO  [www.kuroro.gg])"
"0x13555e21c2cbd3998556673c50a8d495713e997395240e3c2d9b4605022afada","Success","Reward","55770517","2024-04-13 09:53:50","0xe7804c37c13166ff0b37f5ae0bb07a3aebb6e245","Binance: Hot Wallet 2","0xbe0ed77e4b69738d8b38a2c8148ab1295b1d408b","","3,768,308","!    Kuroro Beasts(KURO  [www.kuroro.gg])"
"0x13555e21c2cbd3998556673c50a8d495713e997395240e3c2d9b4605022afada","Success","Reward","55770517","2024-04-13 09:53:50","0xe7804c37c13166ff0b37f5ae0bb07a3aebb6e245","Binance: Hot Wallet 2","0x66cc3df3d1657a80e7b9113a68fde0a1b108f405","","3,768,308","!    Kuroro Beasts(KURO  [www.kuroro.gg])"
"0x13555e21c2cbd3998556673c50a8d495713e997395240e3c2d9b4605022afada","Success","Reward","55770517","2024-04-13 09:53:50","0xe7804c37c13166ff0b37f5ae0bb07a3aebb6e245","Binance: Hot Wallet 2","0xc71c248bf03a2fd4d215ed75f89451fa66905296","","3,768,308","!    Kuroro Beasts(KURO  [www.kuroro.gg])"
"0x13555e21c2cbd3998556673c50a8d495713e997395240e3c2d9b4605022afada","Success","Reward","55770517","2024-04-13 09:53:50","0xe7804c37c13166ff0b37f5ae0bb07a3aebb6e245","Binance: Hot Wallet 2","0x7d99f7fc3d5f413901d983f6282b13ec444ebba1","","3,768,308","!    Kuroro Beasts(KURO  [www.kuroro.gg])"
"0x13555e21c2cbd3998556673c50a8d495713e997395240e3c2d9b4605022afada","Success","Reward","55770517","2024-04-13 09:53:50","0xe7804c37c13166ff0b37f5ae0bb07a3aebb6e245","Binance: Hot Wallet 2","0x5c607394c615e71cf3caa29bdc4cd91b8e5d98b7","","3,768,308","!    Kuroro Beasts(KURO  [www.kuroro.gg])"
"0x13555e21c2cbd3998556673c50a8d495713e997395240e3c2d9b4605022afada","Success","Reward","55770517","2024-04-13 09:53:50","0xe7804c37c13166ff0b37f5ae0bb07a3aebb6e245","Binance: Hot Wallet 2","0xd114b505b08838aae447814d406aaf28e33daebf","","3,768,308","!    Kuroro Beasts(KURO  [www.kuroro.gg])"
